primary_ Horror | K=15 | 50: total=47546, users=53424, mean_per_user=0.8900
primary_ Horror | K=15 | 100: total=44367, users=53424, mean_per_user=0.8305
primary_ Horror | K=15 | 200: total=38271, users=53424, mean_per_user=0.7164
primary_ Horror | K=25 | ORIGINAL: total=90517, users=53424, mean_per_user=1.6943
primary_ Horror | K=25 | 25: total=82933, users=53424, mean_per_user=1.5524
primary_ Horror | K=25 | 50: total=79259, users=53424, mean_per_user=1.4836
primary_ Horror | K=25 | 100: total=74297, users=53424, mean_per_user=1.3907
primary_ Horror | K=25 | 200: total=64461, users=53424, mean_per_user=1.2066
primary_ Horror | K=35 | ORIGINAL: total=126465, users=53424, mean_per_user=2.3672
primary_ Horror | K=35 | 25: total=116042, users=53424, mean_per_user=2.1721
primary_ Horror | K=35 | 50: total=111522, users=53424, mean_per_user=2.0875
primary_ Horror | K=35 | 100: total=104166, users=53424, mean_per_user=1.9498
primary_ Horror | K=35 | 200: total=91045, users=53424, mean_per_user=1.7042
primary_ Mystery | K=15 | ORIGINAL: total=168605, users=53424, mean_per_user=3.1560
primary_ Mystery | K=15 | 25: total=160668, users=53424, mean_per_user=3.0074
primary_ Mystery | K=15 | 50: total=154329, users=53424, mean_per_user=2.8888
primary_ Mystery | K=15 | 100: total=141670, users=53424, mean_per_user=2.6518
primary_ Mystery | K=15 | 200: total=130486, users=53424, mean_per_user=2.4425
primary_ Mystery | K=25 | ORIGINAL: total=280945, users=53424, mean_per_user=5.2588
primary_ Mystery | K=25 | 25: total=268465, users=53424, mean_per_user=5.0252
primary_ Mystery | K=25 | 50: total=258526, users=53424, mean_per_user=4.8391
primary_ Mystery | K=25 | 100: total=239407, users=53424, mean_per_user=4.4813
primary_ Mystery | K=25 | 200: total=220063, users=53424, mean_per_user=4.1192
primary_ Mystery | K=35 | ORIGINAL: total=393547, users=53424, mean_per_user=7.3665
primary_ Mystery | K=35 | 25: total=376566, users=53424, mean_per_user=7.0486
primary_ Mystery | K=35 | 50: total=363900, users=53424, mean_per_user=6.8115
primary_ Mystery | K=35 | 100: total=338603, users=53424, mean_per_user=6.3380
primary_ Mystery | K=35 | 200: total=310160, users=53424, mean_per_user=5.8056
primary_ Nonfiction | K=15 | ORIGINAL: total=120411, users=53424, mean_per_user=2.2539
primary_ Nonfiction | K=15 | 25: total=106758, users=53424, mean_per_user=1.9983
primary_ Nonfiction | K=15 | 50: total=96711, users=53424, mean_per_user=1.8103
primary_ Nonfiction | K=15 | 100: total=81188, users=53424, mean_per_user=1.5197
primary_ Nonfiction | K=15 | 200: total=63956, users=53424, mean_per_user=1.1971
primary_ Nonfiction | K=25 | ORIGINAL: total=200170, users=53424, mean_per_user=3.7468
primary_ Nonfiction | K=25 | 25: total=179089, users=53424, mean_per_user=3.3522
primary_ Nonfiction | K=25 | 50: total=163473, users=53424, mean_per_user=3.0599
primary_ Nonfiction | K=25 | 100: total=140081, users=53424, mean_per_user=2.6221
primary_ Nonfiction | K=25 | 200: total=111264, users=53424, mean_per_user=2.0827
primary_ Nonfiction | K=35 | ORIGINAL: total=278856, users=53424, mean_per_user=5.2197
primary_ Nonfiction | K=35 | 25: total=251952, users=53424, mean_per_user=4.7161
primary_ Nonfiction | K=35 | 50: total=231485, users=53424, mean_per_user=4.3330
primary_ Nonfiction | K=35 | 100: total=200244, users=53424, mean_per_user=3.7482
primary_ Nonfiction | K=35 | 200: total=160524, users=53424, mean_per_user=3.0047
primary_ Romance | K=15 | ORIGINAL: total=141246, users=53424, mean_per_user=2.6439
primary_ Romance | K=15 | 25: total=125927, users=53424, mean_per_user=2.3571
primary_ Romance | K=15 | 50: total=112450, users=53424, mean_per_user=2.1049
primary_ Romance | K=15 | 100: total=98258, users=53424, mean_per_user=1.8392
primary_ Romance | K=15 | 200: total=76412, users=53424, mean_per_user=1.4303
primary_ Romance | K=25 | ORIGINAL: total=234706, users=53424, mean_per_user=4.3933
primary_ Romance | K=25 | 25: total=211139, users=53424, mean_per_user=3.9521
primary_ Romance | K=25 | 50: total=191621, users=53424, mean_per_user=3.5868
primary_ Romance | K=25 | 100: total=169203, users=53424, mean_per_user=3.1672
primary_ Romance | K=25 | 200: total=133936, users=53424, mean_per_user=2.5070
primary_ Romance | K=35 | ORIGINAL: total=327667, users=53424, mean_per_user=6.1333
primary_ Romance | K=35 | 25: total=296810, users=53424, mean_per_user=5.5557
primary_ Romance | K=35 | 50: total=271714, users=53424, mean_per_user=5.0860
primary_ Romance | K=35 | 100: total=242138, users=53424, mean_per_user=4.5324
primary_ Romance | K=35 | 200: total=193920, users=53424, mean_per_user=3.6298
primary_ Science Fiction | K=15 | ORIGINAL: total=72724, users=53424, mean_per_user=1.3613
primary_ Science Fiction | K=15 | 25: total=64437, users=53424, mean_per_user=1.2061
primary_ Science Fiction | K=15 | 50: total=59914, users=53424, mean_per_user=1.1215
primary_ Science Fiction | K=15 | 100: total=49423, users=53424, mean_per_user=0.9251
primary_ Science Fiction | K=15 | 200: total=37500, users=53424, mean_per_user=0.7019
primary_ Science Fiction | K=25 | ORIGINAL: total=121687, users=53424, mean_per_user=2.2778
primary_ Science Fiction | K=25 | 25: total=108250, users=53424, mean_per_user=2.0262
primary_ Science Fiction | K=25 | 50: total=101249, users=53424, mean_per_user=1.8952
primary_ Science Fiction | K=25 | 100: total=84033, users=53424, mean_per_user=1.5729
primary_ Science Fiction | K=25 | 200: total=64821, users=53424, mean_per_user=1.2133
primary_ Science Fiction | K=35 | ORIGINAL: total=170855, users=53424, mean_per_user=3.1981
primary_ Science Fiction | K=35 | 25: total=152377, users=53424, mean_per_user=2.8522
primary_ Science Fiction | K=35 | 50: total=142878, users=53424, mean_per_user=2.6744
primary_ Science Fiction | K=35 | 100: total=119867, users=53424, mean_per_user=2.2437
primary_ Science Fiction | K=35 | 200: total=93730, users=53424, mean_per_user=1.7545
primary_ Thriller | K=15 | ORIGINAL: total=90460, users=53424, mean_per_user=1.6932
primary_ Thriller | K=15 | 25: total=87793, users=53424, mean_per_user=1.6433
primary_ Thriller | K=15 | 50: total=84806, users=53424, mean_per_user=1.5874
primary_ Thriller | K=15 | 100: total=81242, users=53424, mean_per_user=1.5207
primary_ Thriller | K=15 | 200: total=76543, users=53424, mean_per_user=1.4327
primary_ Thriller | K=25 | ORIGINAL: total=152394, users=53424, mean_per_user=2.8525
primary_ Thriller | K=25 | 25: total=148438, users=53424, mean_per_user=2.7785
primary_ Thriller | K=25 | 50: total=143895, users=53424, mean_per_user=2.6935
primary_ Thriller | K=25 | 100: total=137900, users=53424, mean_per_user=2.5812
primary_ Thriller | K=25 | 200: total=130580, users=53424, mean_per_user=2.4442
primary_ Thriller | K=35 | ORIGINAL: total=214897, users=53424, mean_per_user=4.0225
primary_ Thriller | K=35 | 25: total=209968, users=53424, mean_per_user=3.9302
primary_ Thriller | K=35 | 50: total=203756, users=53424, mean_per_user=3.8139
primary_ Thriller | K=35 | 100: total=195722, users=53424, mean_per_user=3.6636
primary_ Thriller | K=35 | 200: total=186053, users=53424, mean_per_user=3.4826
